Chapter_Number,Chapter_Name,Section_Number,Section_Name,Section_Note,Subsection_Number,Subsection_Name,Subsection_Note
Appendix E,Supplementary Accessibility Requirements,,,The provisions contained in this appendix are not mandatory unless specifically referenced in the adopting ordinance.,,,
Appendix E,Supplementary Accessibility Requirements,E101,General,,E101.1,Scope,The provisions of this appendix shall control the supplementary requirements for the design and construction of facilities for accessibility for individuals with disabilities.
Appendix E,Supplementary Accessibility Requirements,E101,General,,E101.2,Design,Technical requirements for items herein shall comply with this code andICC A117.1.
Appendix E,Supplementary Accessibility Requirements,E102,Definitions,,E102.1,General,"The following words and terms shall, for the purposes of this appendix, have the meanings shown herein. Refer to Chapter 2 of this code for general definitions. CLOSED-CIRCUIT TELEPHONE. A telephone with a dedicated line such as a house phone, courtesy phone or phone that must be used to gain entrance to a facility. MAILBOXES. Receptacles for the receipt of documents, packages or other deliverable matter.Mailboxes include, but are not limited to, post office boxes and receptacles provided by commercial mail-receiving agencies, apartment houses and schools. TRANSIENT LODGING. A building, facility or portion thereof, excluding inpatientmedical care facilities and long-term care facilities, that contains one or more dwelling units or sleeping units. Examples oftransient lodging include, but are not limited to, resorts, group homes, hotels, motels, dormitories, homeless shelters, halfway houses and social service lodging"
Appendix E,Supplementary Accessibility Requirements,E103,Accessible Route,,E103.1,Raised platforms,"In banquet rooms or spaces where a head table or speaker’s lectern is located on a raised platform, anaccessible route
shall be provided to the platform."
Appendix E,Supplementary Accessibility Requirements,E104,Special Occupancies,,E104.1,General,Transient lodging facilities shall be provided with accessible features in accordance withSection E104.2. Group I-3 occupancies shall be provided with accessible features in accordance with Section E104.2.
Appendix E,Supplementary Accessibility Requirements,E104,Special Occupancies,,E104.2,Communication Features,Accessible communication features shall be provided in accordance withSections E104.2.1 through E104.2.4
Appendix E,Supplementary Accessibility Requirements,E104,Special Occupancies,,E104.2.1,Transient Lodging,"In transient lodging facilities, sleeping units with accessible communication features shall be provided in accordance with Table E104.2.1. Units required to comply withTable E104.2.1 shall be dispersed among the various classes of units."
Appendix E,Supplementary Accessibility Requirements,E104,Special Occupancies,,E104.2.2,Group I-3,"In Group I-3 occupancies at least 2 percent of the total number of general holdingcells and general housingcells equipped with audible emergency notification systems, and not less than one cell, shall be provided with visual notification devices. Permanently installed telephones within the cell shall comply with Section E104.2.4."
Appendix E,Supplementary Accessibility Requirements,E104,Special Occupancies,,E104.2.3,Dwelling units and sleeping units,"Where dwelling units and sleeping units are altered or added, the requirements ofSection E104.2 shall apply only to the units being altered or added until the number of units with accessible communication features complies with the minimum number required for new construction."
Appendix E,Supplementary Accessibility Requirements,E104,Special Occupancies,,E104.2.4,Notification devices,Visual notification devices shall be provided to alert room occupants of incoming telephone calls and a door knock or bell. Notification devices shall not be connected to visual alarm signal appliances. Permanently installed telephones shall have volume controls and an electrical outlet complying with ICC A117.1 located within 48 inches (1219 mm) of the telephone to facilitate the use of a TTY.
Appendix E,Supplementary Accessibility Requirements,E105,Other features and facilities,,E105.1,Portable toilets and bathing rooms,"Where multiple single-user portable toilet or bathing units are clustered at a single location, at least 5 percent, but not less than one toilet unit or bathing unit at each cluster, shall be accessible. Signs containing the International Symbol of Accessibility shall identify accessible portable toilets and bathing units. Exception: Portable toilet units provided for use exclusively by construction personnel on a construction site."
Appendix E,Supplementary Accessibility Requirements,E105,Other features and facilities,,E105.2,Laundry equipment,"Where provided in spaces required to beaccessible, washing machines and clothes dryers shall comply with this section."
Appendix E,Supplementary Accessibility Requirements,E105,Other features and facilities,,E105.2.1,Washing machines,"Where three or fewer washing machines are provided, one or more shall beaccessible. Where more than three washing machines are provided, two or more shall be accessible."
Appendix E,Supplementary Accessibility Requirements,E105,Other features and facilities,,E105.2.2,Clothes dryers,"Where three or fewer clothes dryers are provided, one or more shall beaccessible. Where more than three clothes dryers are provided, two or more shall be accessible."
Appendix E,Supplementary Accessibility Requirements,E105,Other features and facilities,,E105.3,"Gaming machines, depositories, vending machines, change machines and similar equipment.","Not fewer than one of each type of depository, vending machine, change machine and similar equipment shall be accessible. Two percent of gaming machines shall beaccessible and provided with a front approach.Accessible gaming machines shall be distributed throughout the different types of gaming machines provided. Exception: Drive-up-only depositories are not required to comply with this section."
Appendix E,Supplementary Accessibility Requirements,E105,Other features and facilities,,E105.4,Mailboxes,"Where mailboxes are provided in an interior location, 5 percent of the total, but not less than one, of each type shall be accessible. In residential and institutional facilities, wheremailboxes are provided for each dwelling unit or sleeping unit, accessible mailboxes shall be provided for each unit required to be anAccessible unit."
Appendix E,Supplementary Accessibility Requirements,E105,Other features and facilities,,E105.5,Automatic teller machines and fare machines.,"Where automatic teller machines or self-service fare vending, collection or adjustment machines are provided, not fewer than one machine of each type at each location where such machines are provided shall be accessible. Where bins are provided for envelopes, wastepaper or other purposes, not fewer than one of each type shall be accessible."
Appendix E,Supplementary Accessibility Requirements,E105,Other features and facilities,,E105.6,Two-way communication systems,"Where two-way communication systems are provided to gain admittance to a building or facility or to restricted areas within a building or facility, the system shall be accessible."
Appendix E,Supplementary Accessibility Requirements,E106,Telephones,,E106.1,General,"Where coin-operated public pay telephones, coinless public pay telephones, publicclosed-circuit telephones, courtesy phones or other types of public telephones are provided, accessible public telephones shall be provided in accordance with Sections E106.2 through E106.5 for each type of public telephone provided. For purposes of this section, a bank of telephones shall be considered to consist of two or more adjacent telephones."
